STATE, CURRENT NODE ADDRESS, NEXT NODE ADDRESS
Wisconsin, 0000017121BA8480, 0000017121BA90B0
West Virginia, 0000017121BA90B0, 0000017121BA8CF0
Washington, 0000017121BA8CF0, 0000017121BA9B00
Virginia, 0000017121BA9B00, 0000017121BA7FD0
Vermont, 0000017121BA7FD0, 0000017121BA8FC0
Utah, 0000017121BA8FC0, 0000017121BA8A20
Texas, 0000017121BA8A20, 0000017121BA9CE0
Tennessee, 0000017121BA9CE0, 0000017121BA8660
South Dakota, 0000017121BA8660, 0000017121BA9A10
South Carolina, 0000017121BA9A10, 0000017121BA9650
Rhode Island, 0000017121BA9650, 0000017121BA8390
Puerto Rico, 0000017121BA8390, 0000017121BA8840
Pennsylvania, 0000017121BA8840, 0000017121BA8ED0
Oregon, 0000017121BA8ED0, 0000017121BA9560
Oklahoma, 0000017121BA9560, 0000017121BA82A0
Ohio, 0000017121BA82A0, 0000017121BA8DE0
North Dakota, 0000017121BA8DE0, 0000017121BA7EE0
North Carolina, 0000017121BA7EE0, 0000017121BA5BD0
New York, 0000017121BA5BD0, 0000017121BA5900
New Mexico, 0000017121BA5900, 0000017121BA5720
New Jersey, 0000017121BA5720, 0000017121BA5630
New Hampshire, 0000017121BA5630, 0000017121BA5540
Nevada, 0000017121BA5540, 0000017121BA5270
Nebraska, 0000017121BA5270, 0000017121BA5CC0
Montana, 0000017121BA5CC0, 0000017121BA5360
Missouri, 0000017121BA5360, 0000017121BA5810
Mississippi, 0000017121BA5810, 0000017121BA5AE0
Minnesota, 0000017121BA5AE0, 0000017121BA5450
Michigan, 0000017121BA5450, 0000017121BA5180
Massachusetts, 0000017121BA5180, 0000017121BA59F0
Maryland, 0000017121BA59F0, 0000017121BA5090
Maine, 0000017121BA5090, 0000017121BA4FA0
Louisiana, 0000017121BA4FA0, 0000017121BA4EB0
Kentucky, 0000017121BA4EB0, 0000017121BA4D70
Kansas, 0000017121BA4D70, 0000017121BA4C80
Iowa, 0000017121BA4C80, 0000017121BA4B90
Indiana, 0000017121BA4B90, 0000017121BA4AA0
Illinois, 0000017121BA4AA0, 0000017121BA49B0
Idaho, 0000017121BA49B0, 0000017121BA48C0
Hawaii, 0000017121BA48C0, 0000017121BA47D0
Georgia, 0000017121BA47D0, 0000017121BA46E0
Florida, 0000017121BA46E0, 0000017121BA45F0
District of Columbia, 0000017121BA45F0, 0000017121BA34F0
Delaware, 0000017121BA34F0, 0000017121BA3400
Connecticut, 0000017121BA3400, 0000017121BA3310
Colorado, 0000017121BA3310, 0000017121BA0440
California, 0000017121BA0440, 0000017121B93900
Arkansas, 0000017121B93900, 0000017121B95130
Arizona, 0000017121B95130, 0000017121B95630
Alaska, 0000017121B95630, 0000017121B95380
Alabama, 0000017121B95380, 0000000000000000
End of Original Node List 

Updated Node List
Alabama, 0000017121B95380, 0000017121B95630
Alaska, 0000017121B95630, 0000017121B95130
Arizona, 0000017121B95130, 0000017121B93900
Arkansas, 0000017121B93900, 0000017121BA34F0
Delaware, 0000017121BA34F0, 0000017121BA45F0
District of Columbia, 0000017121BA45F0, 0000017121BA46E0
Florida, 0000017121BA46E0, 0000017121BA47D0
Georgia, 0000017121BA47D0, 0000017121BA48C0
Hawaii, 0000017121BA48C0, 0000017121BA49B0
Idaho, 0000017121BA49B0, 0000017121BA4AA0
Illinois, 0000017121BA4AA0, 0000017121BA4B90
Indiana, 0000017121BA4B90, 0000017121BA4C80
Iowa, 0000017121BA4C80, 0000017121BA4D70
Kansas, 0000017121BA4D70, 0000017121BA4EB0
Kentucky, 0000017121BA4EB0, 0000017121BA4FA0
Louisiana, 0000017121BA4FA0, 0000017121BA5090
Maine, 0000017121BA5090, 0000017121BA59F0
Maryland, 0000017121BA59F0, 0000017121BA5180
Massachusetts, 0000017121BA5180, 0000017121BA5450
Michigan, 0000017121BA5450, 0000017121BA5AE0
Minnesota, 0000017121BA5AE0, 0000017121BA5810
Mississippi, 0000017121BA5810, 0000017121BA5360
Missouri, 0000017121BA5360, 0000017121BA5CC0
Montana, 0000017121BA5CC0, 0000017121BA5270
Nebraska, 0000017121BA5270, 0000017121BA5540
Nevada, 0000017121BA5540, 0000017121BA5630
New Hampshire, 0000017121BA5630, 0000017121BA5720
New Jersey, 0000017121BA5720, 0000017121BA5900
New Mexico, 0000017121BA5900, 0000017121BA5BD0
New York, 0000017121BA5BD0, 0000017121BA7EE0
North Carolina, 0000017121BA7EE0, 0000017121BA8DE0
North Dakota, 0000017121BA8DE0, 0000017121BA82A0
Ohio, 0000017121BA82A0, 0000017121BA9560
Oklahoma, 0000017121BA9560, 0000017121BA8ED0
Oregon, 0000017121BA8ED0, 0000017121BA8840
Pennsylvania, 0000017121BA8840, 0000017121BA8390
Puerto Rico, 0000017121BA8390, 0000017121BA9650
Rhode Island, 0000017121BA9650, 0000017121BA9A10
South Carolina, 0000017121BA9A10, 0000017121BA8660
South Dakota, 0000017121BA8660, 0000017121BA9CE0
Tennessee, 0000017121BA9CE0, 0000017121BA8A20
Texas, 0000017121BA8A20, 0000017121BA8FC0
Utah, 0000017121BA8FC0, 0000017121BA7FD0
Vermont, 0000017121BA7FD0, 0000017121BA9B00
Virginia, 0000017121BA9B00, 0000017121BA8CF0
Washington, 0000017121BA8CF0, 0000017121BA90B0
West Virginia, 0000017121BA90B0, 0000017121BA8480
Wisconsin, 0000017121BA8480, 0000000000000000

 End OF Updated Node List
